cod;nm_categoria;de_categoria
A51;A51   Sifilis precoce;Sífilis precoce
A52;A52   Sifilis tard;Sífilis tardia
A53;A53   Outr form e as NE da sifilis;Outras formas e as não especificadas da sífilis
A54;A54   Infecc gonococica;Infecção gonocócica
A55;A55   Linfogranuloma p/clamidia;Linfogranuloma (venéreo) por clamídia
A56;A56   Outr infecc p/clamidias transm p/via sexual;Outras infecções causadas por clamídias transmitidas por via sexual
A57;A57   Cancro mole;Cancro mole
A58;A58   Granuloma inguinal;Granuloma inguinal
A59;A59   Tricomoniase;Tricomoníase
A60;A60   Infecc anogenitais p/virus do herpes;Infecções anogenitais pelo vírus do herpes [herpes simples]
A63;A63   Outr doenc de transm predom sexual NCOP;Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte
A64;A64   Doenc sexualmente transm NE;Doenças sexualmente transmitidas, não especificadas
A65;A65   Sifilis nao-venerea;Sífilis não-venérea
A66;A66   Bouba;Bouba
A67;A67   Pinta;Pinta [carate]
A68;A68   Febres recorrentes;Febres recorrentes [Borrelioses]
A69;A69   Outr infecc p/espiroquetas;Outras infecções por espiroquetas
A70;A70   Infecc causadas p/Clamidia psittaci;Infecções causadas por Clamídia psittaci
A71;A71   Tracoma;Tracoma
A74;A74   Outr doenc causadas p/Clamidias;Outras doenças causadas por Clamídias
A75;A75   Tifo exantematico;Tifo exantemático
A77;A77   Febre maculosa;Febre maculosa [rickettsioses transmitidas por carrapatos]
A78;A78   Febre Q;Febre Q
A79;A79   Outr rickettsioses;Outras rickettsioses
A80;A80   Poliomielite aguda;Poliomielite aguda
A81;A81   Infecc p/virus atipicos sist nervoso central;Infecções por vírus atípicos do sistema nervoso central
A82;A82   Raiva;Raiva
A83;A83   Encefalite p/virus transm p/mosquitos;Encefalite por vírus transmitidos por mosquitos
A84;A84   Encefalite p/virus transm p/carrapatos;Encefalite por vírus transmitido por carrapatos
A85;A85   Outr encefalites virais NCOP;Outras encefalites virais, não classificadas em outra parte
A86;A86   Encefalite viral NE;Encefalite viral, não especificada
A87;A87   Meningite viral;Meningite viral
A88;A88   Outr infecc virais sist nervoso central NCOP;Outras infecções virais do sistema nervoso central não classificadas em outra parte
A89;A89   Infecc virais NE do sist nervoso central;Infecções virais não especificadas do sistema nervoso central
A90;A90   Dengue;Dengue [dengue clássico]
A91;A91   Febre hemorragica dev virus do dengue;Febre hemorrágica devida ao vírus do dengue
A92;A92   Outr febres virais transm p/mosquitos;Outras febres virais transmitidas por mosquitos
A93;A93   Outr febres p/virus transm p/artropodes NCOP;Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte
A94;A94   Febre viral transm p/artropodes NE;Febre viral transmitida por artrópodes, não especificada
A95;A95   Febre amarela;Febre amarela
A96;A96   Febre hemorragica p/arenavirus;Febre hemorrágica por arenavírus
A98;A98   Outr febres hemorragicas p/virus NCOP;Outras febres hemorrágicas por vírus, não classificadas em outra parte
A99;A99   Febres hemorragicas virais NE;Febres hemorrágicas virais não especificadas
B00;B00   Infecc p/virus do herpes;Infecções pelo vírus do herpes [herpes simples]
B01;B01   Varicela;Varicela [Catapora]
B02;B02   Herpes zoster;Herpes zoster [Zona]
B03;B03   Variola;Varíola
B04;B04   Variola dos macacos;Varíola dos macacos [Monkeypox]
B05;B05   Sarampo;Sarampo
B06;B06   Rubeola;Rubéola
B07;B07   Verrugas orig viral;Verrugas de origem viral
B08;B08   Outr inf virais lesoes pele membr muc NCOP;Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte
B09;B09   Inf viral NE caract p/lesoes pele membr muco;Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas
B15;B15   Hepatite aguda A;Hepatite aguda A
B16;B16   Hepatite aguda B;Hepatite aguda B
B17;B17   Outr hepatites virais agudas;Outras hepatites virais agudas
B18;B18   Hepatite viral cronica;Hepatite viral crônica
B19;B19   Hepatite viral NE;Hepatite viral não especificada
B20;B20   Doenc p/HIV result doenc infecc e parasit;Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias
B21;B21   Doenc p/HIV result em neopl malig;Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas
B22;B22   Doenc p/HIV result em outr doenc espec;Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas
B23;B23   Doenc p/HIV result em outr doenc;Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças
B24;B24   Doenc p/HIV NE;Doença pelo vírus da imunodeficiência humana [HIV] não especificada
B25;B25   Doenc p/citomegalovirus;Doença por citomegalovírus
B26;B26   Caxumba;Caxumba [Parotidite epidêmica]
B27;B27   Mononucleose infecc;Mononucleose infecciosa
B30;B30   Conjuntivite viral;Conjuntivite viral
B33;B33   Outr doenc p/virus NCOP;Outras doenças por vírus não classificada em outra parte
B34;B34   Doenc p/virus de localiz NE;Doenças por vírus, de localização não especificada
B35;B35   Dermatofitose;Dermatofitose
B36;B36   Outr micoses superf;Outras micoses superficiais
B37;B37   Candidiase;Candidíase
B38;B38   Coccidioidomicose;Coccidioidomicose
B39;B39   Histoplasmose;Histoplasmose
B40;B40   Blastomicose;Blastomicose
B41;B41   Paracoccidioidomicose;Paracoccidioidomicose
B42;B42   Esporotricose;Esporotricose
B43;B43   Cromomicose e abscesso feomicotico;Cromomicose e abscesso feomicótico
B44;B44   Aspergilose;Aspergilose
B45;B45   Criptococose;Criptococose
B46;B46   Zigomicose;Zigomicose
B47;B47   Micetoma;Micetoma
B48;B48   Outr micoses NCOP;Outras micoses, não classificadas em outra parte
B49;B49   Micose NE;Micose não especificada
B50;B50   Malaria p/Plasmodium falciparum;Malária por Plasmodium falciparum
B51;B51   Malaria p/Plasmodium vivax;Malária por Plasmodium vivax
B52;B52   Malaria p/Plasmodium malariae;Malária por Plasmodium malariae
B53;B53   Outr form malaria conf p/exames parasitolog;Outras formas de malária confirmadas por exames parasitológicos
B54;B54   Malaria NE;Malária não especificada
B55;B55   Leishmaniose;Leishmaniose
B56;B56   Tripanossomiase africana;Tripanossomíase africana
B57;B57   Doenc de Chagas;Doença de Chagas
B58;B58   Toxoplasmose;Toxoplasmose
B59;B59   Pneumocistose;Pneumocistose
B60;B60   Outr doenc dev protozoarios NCOP;Outras doenças devidas a protozoários, não classificadas em outra parte
B64;B64   Doenc NE dev protozoarios;Doença não especificada devida a protozoários
B65;B65   Esquistossomose;Esquistossomose [bilharziose] [Schistosomíase]
B66;B66   Outr infestacoes p/trematodeos;Outras infestações por trematódeos
B67;B67   Equinococose;Equinococose
B68;B68   Infestacao p/Taenia;Infestação por Taenia
B69;B69   Cisticercose;Cisticercose
B70;B70   Difilobotriase e esparganose;Difilobotríase e esparganose
B71;B71   Outr infestacoes p/cestoides;Outras infestações por cestóides
B72;B72   Dracontiase;Dracontíase
B73;B73   Oncocercose;Oncocercose
B74;B74   Filariose;Filariose
B75;B75   Triquinose;Triquinose
B76;B76   Ancilostomiase;Ancilostomíase
B77;B77   Ascaridiase;Ascaridíase
B78;B78   Estrongiloidiase;Estrongiloidíase
B79;B79   Tricuriase;Tricuríase
B80;B80   Oxiuriase;Oxiuríase
B81;B81   Outr helmintiases intestinais NCOP;Outras helmintíases intestinais, não classificadas em outra parte
B82;B82   Parasitose intestinal NE;Parasitose intestinal não especificada
B83;B83   Outr helmintiases;Outras helmintíases
B85;B85   Pediculose e ftiriase;Pediculose e ftiríase
B86;B86   Escabiose;Escabiose [sarna]
B87;B87   Miiase;Miíase
B88;B88   Outr infestacoes;Outras infestações
B89;B89   Doenc parasit NE;Doença parasitária não especificada
B90;B90   Sequelas de tuberc;Seqüelas de tuberculose
B91;B91   Sequelas de poliomielite;Seqüelas de poliomielite
B92;B92   Sequelas de hanseniase;Seqüelas de hanseníase [lepra]
B94;B94   Sequelas de outr doenc infecc e parasit e NE;Seqüelas de outras doenças infecciosas e parasitárias e das não especificadas
B95;B95   Estr/estafilococo causa doenc class outr cap;Estreptococos e estafilococos como causa de doenças classificadas em outros capítulos
B96;B96   Outr agent bacter causa doenc class outr cap;Outros agentes bacterianos, como causa de doenças classificadas em outros capítulos
B97;B97   Virus como doenc class outr cap;Vírus como causa de doenças classificadas em outros capítulos
B99;B99   Doenc infecc outr e as NE;Doenças infecciosas, outras e as não especificadas
C00;C00   Neopl malig do labio;Neoplasia maligna do lábio
C01;C01   Neopl malig da base da lingua;Neoplasia maligna da base da língua
C02;C02   Neopl malig outr partes e NE da lingua;Neoplasia maligna de outras partes e de partes não especificadas da língua
C03;C03   Neopl malig da gengiva;Neoplasia maligna da gengiva
C04;C04   Neopl malig do assoalho da boca;Neoplasia maligna do assoalho da boca
C05;C05   Neopl malig do palato;Neoplasia maligna do palato
C06;C06   Neopl malig outr partes e partes NE da boca;Neoplasia maligna de outras partes e de partes não especificadas da boca
C07;C07   Neopl malig da gland parotida;Neoplasia maligna da glândula parótida
C08;C08   Neopl malig outr gland saliv maiores e NE;Neoplasia maligna de outras glândulas salivares maiores e as não especificadas
C09;C09   Neopl malig da amigdala;Neoplasia maligna da amígdala
C10;C10   Neopl malig da orofaringe;Neoplasia maligna da orofaringe
C11;C11   Neopl malig da nasofaringe;Neoplasia maligna da nasofaringe
C12;C12   Neopl malig do seio piriforme;Neoplasia maligna do seio piriforme
C13;C13   Neopl malig da hipofaringe;Neoplasia maligna da hipofaringe
C14;C14   Neop mal out loc mal def labio cav oral far;Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe
C15;C15   Neopl malig do esofago;Neoplasia maligna do esôfago
C16;C16   Neopl malig do estomago;Neoplasia maligna do estômago
C17;C17   Neopl malig do intestino delgado;Neoplasia maligna do intestino delgado
C18;C18   Neopl malig do colon;Neoplasia maligna do cólon
C19;C19   Neopl malig da juncao retossigmoide;Neoplasia maligna da junção retossigmóide
C20;C20   Neopl malig do reto;Neoplasia maligna do reto
C21;C21   Neopl malig do anus e do canal anal;Neoplasia maligna do ânus e do canal anal
C22;C22   Neopl malig figado vias biliares intra-hepat;Neoplasia maligna do fígado e das vias biliares intra-hepáticas
C23;C23   Neopl malig da vesicula biliar;Neoplasia maligna da vesícula biliar
C24;C24   Neopl malig outr partes e NE vias biliares;Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares
C25;C25   Neopl malig do pancreas;Neoplasia maligna do pâncreas
C26;C26   Neopl malig outr mal def aparelho digestivo;Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo
C30;C30   Neopl malig cavidade nasal e do ouvido medio;Neoplasia maligna da cavidade nasal e do ouvido médio
C31;C31   Neopl malig dos seios da face;Neoplasia maligna dos seios da face
C32;C32   Neopl malig da laringe;Neoplasia maligna da laringe
C33;C33   Neopl malig da traqueia;Neoplasia maligna da traquéia
C34;C34   Neopl malig dos bronquios e dos pulmoes;Neoplasia maligna dos brônquios e dos pulmões
C37;C37   Neopl malig do timo;Neoplasia maligna do timo
C38;C38   Neopl malig do coracao mediastino e pleura;Neoplasia maligna do coração, mediastino e pleura
C39;C39   Neop mal out loc mal def ap resp org intrat;Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos
C40;C40   Neopl malig ossos/cartilag artic membros;Neoplasia maligna dos ossos e cartilagens articulares dos membros
C41;C41   Neopl malig ossos/cartil artic outr loc e NE;Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas
C43;C43   Melanoma malig da pele;Melanoma maligno da pele
C44;C44   Outr neopl malig da pele;Outras neoplasias malignas da pele
C45;C45   Mesotelioma;Mesotelioma
C46;C46   Sarcoma de Kaposi;Sarcoma de Kaposi
C47;C47   Neopl malig nervos perif e sist nerv autonom;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo
C48;C48   Neopl malig tec moles retro- e peritonio;Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio
C49;C49   Neopl malig tec conjuntivo e outr tec moles;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
C50;C50   Neopl malig da mama;Neoplasia maligna da mama
C51;C51   Neopl malig da vulva;Neoplasia maligna da vulva
C52;C52   Neopl malig da vagina;Neoplasia maligna da vagina
C53;C53   Neopl malig do colo do utero;Neoplasia maligna do colo do útero
C54;C54   Neopl malig do corpo do utero;Neoplasia maligna do corpo do útero
C55;C55   Neopl malig do utero porcao NE;Neoplasia maligna do útero, porção não especificada
C56;C56   Neopl malig do ovario;Neoplasia maligna do ovário
C57;C57   Neopl malig outr org genitais femin e NE;Neoplasia maligna de outros órgãos genitais femininos e dos não especificados
C58;C58   Neopl malig da placenta;Neoplasia maligna da placenta
C60;C60   Neopl malig do penis;Neoplasia maligna do pênis
C61;C61   Neopl malig da prostata;Neoplasia maligna da próstata
C62;C62   Neopl malig dos testiculos;Neoplasia maligna dos testículos
C63;C63   Neopl malig outr org genit masc e NE;Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados
C64;C64   Neopl malig do rim exceto pelve renal;Neoplasia maligna do rim, exceto pelve renal
C65;C65   Neopl malig da pelve renal;Neoplasia maligna da pelve renal
C66;C66   Neopl malig dos ureteres;Neoplasia maligna dos ureteres
C67;C67   Neopl malig da bexiga;Neoplasia maligna da bexiga
C68;C68   Neopl malig de outr orgaos urinarios e NE;Neoplasia maligna de outros órgãos urinários e dos não especificados
C69;C69   Neopl malig do olho e anexos;Neoplasia maligna do olho e anexos
C70;C70   Neopl malig das meninges;Neoplasia maligna das meninges
C71;C71   Neopl malig do encefalo;Neoplasia maligna do encéfalo
C72;C72   Neop mal med esp nerv cran out sist nerv cen;Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central
C73;C73   Neopl malig da gland tireoide;Neoplasia maligna da glândula tireóide
C74;C74   Neopl malig da gland supra-renal;Neoplasia maligna da glândula supra-renal [Glândula adrenal]
C75;C75   Neopl malig outr gland endocrinas estr relac;Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas
C76;C76   Neopl malig outr localiz e mal definidas;Neoplasia maligna de outras localizações e de localizações mal definidas
C77;C77   Neopl malig secund e NE gangl linfaticos;Neoplasia maligna secundária e não especificada dos gânglios linfáticos
C78;C78   Neopl malig secund org respirat e digestivos;Neoplasia maligna secundária dos órgãos respiratórios e digestivos
C79;C79   Neopl malig secund de outr localiz;Neoplasia maligna secundária de outras localizações
C80;C80   Neopl malig s/especificacao de localiz;Neoplasia maligna, sem especificação de localização
C81;C81   Doenc de Hodgkin;Doença de Hodgkin
C82;C82   Linfoma nao-Hodgkin folicular;Linfoma não-Hodgkin, folicular (nodular)
C83;C83   Linfoma nao-Hodgkin difuso;Linfoma não-Hodgkin difuso
C84;C84   Linfomas de celulas T cutaneas e perifericas;Linfomas de células T cutâneas e periféricas
C85;C85   Linfoma nao-Hodgkin de outr tipos e tipo NE;Linfoma não-Hodgkin de outros tipos e de tipo não especificado
C88;C88   Doenc imunoproliferativas malignas;Doenças imunoproliferativas malignas
C90;C90   Mieloma mult e neopl malig de plasmocitos;Mieloma múltiplo e neoplasias malignas de plasmócitos
C91;C91   Leucemia linfoide;Leucemia linfóide
C92;C92   Leucemia mieloide;Leucemia mielóide
C93;C93   Leucemia monocitica;Leucemia monocítica
C94;C94   Outr leucemias de celulas de tipo espec;Outras leucemias de células de tipo especificado
C95;C95   Leucemia de tipo celular NE;Leucemia de tipo celular não especificado
C96;C96   Outr neopl mal e NE tec linf hematop e corr;Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e tecidos correlatos
C97;C97   Neopl malig de localiz mult independentes;Neoplasias malignas de localizações múltiplas independentes (primárias)
D00;D00   Carcinoma in situ cav oral esofago estomago;Carcinoma in situ da cavidade oral, do esôfago e do estômago
D01;D01   Carcinoma in situ de outr orgaos digestivos;Carcinoma in situ de outros órgãos digestivos
D02;D02   Carcinoma in situ ouvido medio e ap respirat;Carcinoma in situ do ouvido médio e do aparelho respiratório
D03;D03   Melanoma in situ;Melanoma in situ
D04;D04   Carcinoma in situ da pele;Carcinoma in situ da pele
D05;D05   Carcinoma in situ da mama;Carcinoma in situ da mama
D06;D06   Carcinoma in situ do colo do utero;Carcinoma in situ do colo do útero (cérvix)
D07;D07   Carcinoma in situ outr orgaos genitais e NE;Carcinoma in situ de outros órgãos genitais e dos não especificados
D09;D09   Carcinoma in situ de outr localiz e das NE;Carcinoma in situ de outras localizações e das não especificadas
D10;D10   Neopl benig da boca e da faringe;Neoplasia benigna da boca e da faringe
D11;D11   Neopl benig de gland salivares maiores;Neoplasia benigna de glândulas salivares maiores
D12;D12   Neopl benig do colon reto canal anal e anus;Neoplasia benigna do cólon, reto, canal anal e ânus
D13;D13   Neopl benig outr part e mal def ap digestivo;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo
D14;D14   Neopl benig ouvido medio e aparelho respirat;Neoplasia benigna do ouvido médio e do aparelho respiratório
D15;D15   Neopl benig outr orgaos intratoracicos e NE;Neoplasia benigna de outros órgãos intratorácicos e dos não especificados
D16;D16   Neopl benig de osso e cartilagem articular;Neoplasia benigna de osso e de cartilagem articular
D17;D17   Neopl lipomatosa benig;Neoplasia lipomatosa benigna
D18;D18   Hemangioma e linfangioma de qualquer localiz;Hemangioma e linfangioma de qualquer localização
D19;D19   Neopl benig de tec mesotelial;Neoplasia benigna de tecido mesotelial
D20;D20   Neopl benig tec mole retro- e peritonio;Neoplasia benigna de tecido mole do retroperitônio e do peritônio
D21;D21   Outr neopl benig tec conj e outr tec moles;Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles
D22;D22   Nevos melanociticos;Nevos melanocíticos
D23;D23   Outr neopl benig da pele;Outras neoplasias benignas da pele
D24;D24   Neopl benig da mama;Neoplasia benigna da mama
D25;D25   Leiomioma do utero;Leiomioma do útero
D26;D26   Outr neopl benig do utero;Outras neoplasias benignas do útero
D27;D27   Neopl benig do ovario;Neoplasia benigna do ovário
D28;D28   Neopl benig outr org genitais femin e NE;Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados
D29;D29   Neopl benig dos orgaos genitais masc;Neoplasia benigna dos órgãos genitais masculinos
D30;D30   Neopl benig dos orgaos urinarios;Neoplasia benigna dos órgãos urinários
D31;D31   Neopl benig do olho e anexos;Neoplasia benigna do olho e anexos
D32;D32   Neopl benig das meninges;Neoplasia benigna das meninges
D33;D33   Neopl benig encef e out part sist nerv centr;Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central
D34;D34   Neopl benig da gland tireoide;Neoplasia benigna da glândula tireóide
D35;D35   Neopl benig de outr gland endocrinas e NE;Neoplasia benigna de outras glândulas endócrinas e das não especificadas
D36;D36   Neopl benig de outr localiz e de localiz NE;Neoplasia benigna de outras localizações e de localizações não especificadas
D37;D37   Neopl comp incerto/desc cav oral e org dig;Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
D38;D38   Neopl comp inc/desc ouv med org resp intrat;Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos
D39;D39   Neopl comp incerto/desconh org genitais fem;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos
D40;D40   Neopl comp incerto/desconh org genitais masc;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos
D41;D41   Neopl comp incerto/desconh orgaos urinarios;Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários
D42;D42   Neopl comp incerto/desconhecido meninges;Neoplasia de comportamento incerto ou desconhecido das meninges
D43;D43   Neopl comp inc/desc encefalo sist nerv centr;Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
D44;D44   Neopl comp incerto/desconh gland endocrinas;Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
D45;D45   Policitemia vera;Policitemia vera
D46;D46   Sindr mielodisplasicas;Síndromes mielodisplásicas
D47;D47   Out neop comp inc/des tec linf hemat tec cor;Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos
D48;D48   Neopl comp inc/desconh outr localiz e NE;Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
D50;D50   Anemia p/defic de ferro;Anemia por deficiência de ferro
D51;D51   Anemia p/defic de vitamina B12;Anemia por deficiência de vitamina B12
D52;D52   Anemia p/defic de folato;Anemia por deficiência de folato
D53;D53   Outr anemias nutricionais;Outras anemias nutricionais
D55;D55   Anemia dev transt enzimaticos;Anemia devida a transtornos enzimáticos
D56;D56   Talassemia;Talassemia
D57;D57   Transt falciformes;Transtornos falciformes
D58;D58   Outr anemias hemoliticas hereditarias;Outras anemias hemolíticas hereditárias
D59;D59   Anemia hemolitica adquir;Anemia hemolítica adquirida
D60;D60   Aplasia pura da serie vermelha adquir;Aplasia pura da série vermelha, adquirida [eritroblastopenia]
D61;D61   Outr anemias aplasticas;Outras anemias aplásticas
D62;D62   Anemia aguda pos-hemorragica;Anemia aguda pós-hemorrágica
D63;D63   Anemia em doenc cronicas COP;Anemia em doenças crônicas classificadas em outra parte
D64;D64   Outr anemias;Outras anemias
D65;D65   Coagulacao intravascular disseminada;Coagulação intravascular disseminada [síndrome de desfibrinação]
D66;D66   Defic hereditaria do fator VIII;Deficiência hereditária do fator VIII
D67;D67   Defic hereditaria do fator IX;Deficiência hereditária do fator IX
D68;D68   Outr defeitos da coagulacao;Outros defeitos da coagulação
D69;D69   Purpura e outr afeccoes hemorragicas;Púrpura e outras afecções hemorrágicas
D70;D70   Agranulocitose;Agranulocitose
D71;D71   Transt func neutrofilos polimorfonucleares;Transtornos funcionais dos neutrófilos polimorfonucleares
D72;D72   Outr transt dos globulos brancos;Outros transtornos dos glóbulos brancos
D73;D73   Doenc do baco;Doenças do baço
D74;D74   Metemoglobinemia;Metemoglobinemia
D75;D75   Outr doenc sangue e orgaos hematopoeticos;Outras doenças do sangue e dos órgãos hematopoéticos
D76;D76   Alg doenc q env tec linforr e sist reticuloh;Algumas doenças que envolvem o tecido linforreticular e o sistema reticulohistiocítico
D77;D77   Outr transt sangue e org hematop doenc COP;Outros transtornos do sangue e dos órgãos hematopoéticos em doenças classificadas em outra parte
D80;D80   Imunodefic c/predom defeitos anticorpos;Imunodeficiência com predominância de defeitos de anticorpos
D81;D81   Defic imunitarias combinadas;Deficiências imunitárias combinadas
D82;D82   Imunodeficiencia assoc c/outr defeitos major;"Imunodeficiência associada com outros defeitos ""major"""
D83;D83   Imunodeficiencia comum variavel;Imunodeficiência comum variável
D84;D84   Outr imunodeficiencias;Outras imunodeficiências
D86;D86   Sarcoidose;Sarcoidose
D89;D89   Outr transt q comprom mecanismo imunit NCOP;Outros transtornos que comprometem o mecanismo imunitário não classificados em outra parte
E00;E00   Sindr de defic congen de iodo;Síndrome de deficiência congênita de iodo
E01;E01   Transt tireoid e afecc assoc rel defic iodo;Transtornos tireoidianos e afecções associadas, relacionados à deficiência de iodo
E02;E02   Hipotireoidismo subclinico p/defic de iodo;Hipotireoidismo subclínico por deficiência de iodo
E03;E03   Outr hipotireoidismos;Outros hipotireoidismos
E04;E04   Outr bocios nao-toxicos;Outros bócios não-tóxicos
E05;E05   Tireotoxicose;Tireotoxicose [hipertireoidismo]
E06;E06   Tireoidite;Tireoidite
E07;E07   Outr transt da tireoide;Outros transtornos da tireóide
E10;E10   Diabetes mellitus insulino-dependente;Diabetes mellitus insulino-dependente
E11;E11   Diabetes mellitus nao-insulino-dependemte;Diabetes mellitus não-insulino-dependente
E12;E12   Diabetes mellitus relac c/a desnutr;Diabetes mellitus relacionado com a desnutrição
E13;E13   Outr tipos espec de diabetes mellitus;Outros tipos especificados de diabetes mellitus
E14;E14   Diabetes mellitus NE;Diabetes mellitus não especificado
E15;E15   Coma hipoglicemico nao-diabetico;Coma hipoglicêmico não-diabético
E16;E16   Outr transt da secrecao pancreatica interna;Outros transtornos da secreção pancreática interna
E20;E20   Hipoparatireoidismo;Hipoparatireoidismo
E21;E21   Hiperparatireoid e out transt gland paratir;Hiperparatireoidismo e outros transtornos da glândula paratireóide
E22;E22   Hiperfuncao da hipofise;Hiperfunção da hipófise
E23;E23   Hipofuncao e outr transt da hipofise;Hipofunção e outros transtornos da hipófise
E24;E24   Sindr de Cushing;Síndrome de Cushing
E25;E25   Transt adrenogenitais;Transtornos adrenogenitais
E26;E26   Hiperaldosteronismo;Hiperaldosteronismo
E27;E27   Outr transt da gland supra-renal;Outros transtornos da glândula supra-renal
E28;E28   Disfuncao ovariana;Disfunção ovariana
E29;E29   Disfuncao testicular;Disfunção testicular
E30;E30   Transt da puberdade NCOP;Transtornos da puberdade não classificados em outra parte
E31;E31   Disfuncao poliglandular;Disfunção poliglandular
E32;E32   Doenc do timo;Doenças do timo
E34;E34   Outr transt endocrinos;Outros transtornos endócrinos
E35;E35   Transt das gland endocrinas em doenc COP;Transtornos das glândulas endócrinas em doenças classificadas em outra parte
E40;E40   Kwashiorkor;Kwashiorkor
E41;E41   Marasmo nutricional;Marasmo nutricional
E42;E42   Kwashiorkor marasmatico;Kwashiorkor marasmático
E43;E43   Desnutric proteico-calorica grave NE;Desnutrição protéico-calórica grave não especificada
E44;E44   Desnutric proteico-calorica grau moder leve;Desnutrição protéico-calórica de graus moderado e leve
